source,benchmark,metric,n,baseline_value,candidate_value,delta,ci_low,ci_high,prob_candidate_higher
benchmark,chartqa,relaxed_accuracy,1920,0.3796875,0.40625,0.02656249999999999,0.01770833333333338,0.035937499999999956,1.0
benchmark,hallusionbench,accuracy,1129,0.5721877767936226,0.5739592559787422,0.001771479185119551,-0.00797165633303809,0.012400354295836968,0.623
benchmark,pope,accuracy,9000,0.8733333333333333,0.8717777777777778,-0.0015555555555555323,-0.0032222222222222374,0.0003333333333332966,0.041
benchmark,pope,f1,9000,0.8830262727570043,0.881437125748503,-0.0015891470085013237,-0.0032655790673774693,4.654281382742162e-06,0.026
dependence,all,blank_changed_rate,12049,0.9667192298116026,0.9704539795833679,0.0037347497717652445,0.0016598887874512691,0.005975599634824524,1.0
dependence,all,mismatch_changed_rate,12049,0.9285417877002241,0.9360942816831272,0.007552493982903141,0.004147647107643748,0.01095526599717822,1.0
dependence,all,blank_score_drop_mean,12049,0.4271723794505768,0.42003485766453647,-0.007137521786040324,-0.011038260436550706,-0.002987799817412261,0.001
dependence,all,mismatch_score_drop_mean,12049,0.35081749522781974,0.35081749522781974,0.0,-0.0029898746783965217,0.00282181093866707,0.496
